bay_id,st_marker_id,status,location,lat,lon
745,C220,Unoccupied,"(-37.815621364479, 144.97220133737656)",-37.815621364479,144.97220133737656
758,C272,Unoccupied,"(-37.81524344883161, 144.97202679261656)",-37.81524344883161,144.97202679261656
921,C700,Present,"(-37.81416846060719, 144.9687266792635)",-37.81416846060719,144.9687266792635
1829,2495S,Unoccupied,"(-37.81047789524604, 144.97230722782524)",-37.81047789524604,144.97230722782524
2017,3463S,Unoccupied,"(-37.812153491312095, 144.95898002690444)",-37.812153491312095,144.95898002690444
1154,C1250,Unoccupied,"(-37.811865930053884, 144.95926796578237)",-37.811865930053884,144.95926796578237
1771,2400N,Unoccupied,"(-37.81479691386167, 144.9610038934586)",-37.81479691386167,144.9610038934586
4654,8474E,Unoccupied,"(-37.82533323321546, 144.96689638293805)",-37.82533323321546,144.96689638293805
4822,9208N,Unoccupied,"(-37.831156222348426, 144.96675881733876)",-37.831156222348426,144.96675881733876
8289,392E,Unoccupied,"(-37.81251662596277, 144.97089202005094)",-37.81251662596277,144.97089202005094
1862,2593S,Unoccupied,"(-37.814838805458926, 144.9573701253143)",-37.814838805458926,144.9573701253143
5880,12908N,Unoccupied,"(-37.79836692956692, 144.96527283263367)",-37.79836692956692,144.96527283263367
5114,9920N,Unoccupied,"(-37.82559357472515, 144.96848460279853)",-37.82559357472515,144.96848460279853
4596,8324E,Unoccupied,"(-37.82494469392529, 144.96832522003348)",-37.82494469392529,144.96832522003348
5097,9895S,Unoccupied,"(-37.825627484704526, 144.96873521752343)",-37.825627484704526,144.96873521752343
3171,5378E,Unoccupied,"(-37.805481106385486, 144.9562249856159)",-37.805481106385486,144.9562249856159
3053,5162E,Unoccupied,"(-37.80265814072451, 144.95691315566705)",-37.80265814072451,144.95691315566705
6666,9359S,Unoccupied,"(-37.8296685840769, 144.96795755165562)",-37.8296685840769,144.96795755165562
3082,5220E,Unoccupied,"(-37.80475037719941, 144.95740109574734)",-37.80475037719941,144.95740109574734
6088,13241S,Unoccupied,"(-37.82004168040871, 144.943404466561)",-37.82004168040871,144.943404466561
3032,5132E,Unoccupied,"(-37.803121540635686, 144.9571284198139)",-37.803121540635686,144.9571284198139
5155,9980N,Unoccupied,"(-37.826054762426196, 144.96692560396133)",-37.826054762426196,144.96692560396133
3717,7720N,Unoccupied,"(-37.80335990572338, 144.95322523876138)",-37.80335990572338,144.95322523876138
5003,9435S,Unoccupied,"(-37.83018091606324, 144.96619086769175)",-37.83018091606324,144.96619086769175
5129,9942N,Unoccupied,"(-37.825885155130365, 144.96750776409695)",-37.825885155130365,144.96750776409695
3002,5058E,Unoccupied,"(-37.80516415538277, 144.95807184586596)",-37.80516415538277,144.95807184586596
2546,C3066,Unoccupied,"(-37.81331155710755, 144.9587341845321)",-37.81331155710755,144.9587341845321
3938,C5792,Unoccupied,"(-37.8040602342537, 144.95547179734015)",-37.8040602342537,144.95547179734015
749,C236,Unoccupied,"(-37.81553015751127, 144.97215866134673)",-37.81553015751127,144.97215866134673
6103,C13508,Present,"(-37.81923720387667, 144.94587058764475)",-37.81923720387667,144.94587058764475
3985,C5938,Unoccupied,"(-37.80412494211802, 144.95395824633061)",-37.80412494211802,144.95395824633061
4997,9429S,Unoccupied,"(-37.830149272095724, 144.96629970781942)",-37.830149272095724,144.96629970781942
3096,5248E,Unoccupied,"(-37.80507850502187, 144.95733720169193)",-37.80507850502187,144.95733720169193
6202,13317W,Unoccupied,"(-37.820118964796066, 144.94706945697664)",-37.820118964796066,144.94706945697664
4113,C6378,Unoccupied,"(-37.8040323112338, 144.9509553469769)",-37.8040323112338,144.9509553469769
6353,13283S,Unoccupied,"(-37.82130174655896, 144.95069008102325)",-37.82130174655896,144.95069008102325
4602,8331W,Unoccupied,"(-37.824757553482954, 144.9682613323331)",-37.824757553482954,144.9682613323331
6581,13858N,Unoccupied,"(-37.81245600838406, 144.9408281056877)",-37.81245600838406,144.9408281056877
3966,C5900,Unoccupied,"(-37.80470462823361, 144.9538548253778)",-37.80470462823361,144.9538548253778
3954,C5876,Unoccupied,"(-37.805096671111876, 144.9537847484558)",-37.805096671111876,144.9537847484558
4119,C6400,Unoccupied,"(-37.80375005016145, 144.95100527683002)",-37.80375005016145,144.95100527683002
4713,8661W,Present,"(-37.82545729536263, 144.96260530558308)",-37.82545729536263,144.96260530558308
